Identifiant arc;Libelle;Date et heure de comptage;Débit horaire;Taux d'occupation;Etat trafic;Identifiant noeud amont;Libelle noeud amont;Identifiant noeud aval;Libelle noeud aval;Etat arc;Date debut dispo data;Date fin dispo data;geo_point_2d;geo_shape
4265;Av_Champs_Elysees;2022-11-07T09:00:00+01:00;1419.0;9.86945;Fluide;2294;Av_Champs_Elysees-Washington;2296;Av_Champs_Elysees-Balzac;Invalide;2005-01-01;2019-06-01;48.872281170534215,2.3002135268762136;"{""coordinates"": [[2.3008608816978273, 48.87207295286932], [2.2995661720546, 48.872489388199135]], ""type"": ""LineString""}"
4265;Av_Champs_Elysees;2022-11-07T07:00:00+01:00;577.0;3.85834;Fluide;2294;Av_Champs_Elysees-Washington;2296;Av_Champs_Elysees-Balzac;Invalide;2005-01-01;2019-06-01;48.872281170534215,2.3002135268762136;"{""coordinates"": [[2.3008608816978273, 48.87207295286932], [2.2995661720546, 48.872489388199135]], ""type"": ""LineString""}"
4265;Av_Champs_Elysees;2022-11-07T04:00:00+01:00;273.0;1.36056;Fluide;2294;Av_Champs_Elysees-Washington;2296;Av_Champs_Elysees-Balzac;Invalide;2005-01-01;2019-06-01;48.872281170534215,2.3002135268762136;"{""coordinates"": [[2.3008608816978273, 48.87207295286932], [2.2995661720546, 48.872489388199135]], ""type"": ""LineString""}"
4265;Av_Champs_Elysees;2022-11-07T03:00:00+01:00;368.0;1.95056;Fluide;2294;Av_Champs_Elysees-Washington;2296;Av_Champs_Elysees-Balzac;Invalide;2005-01-01;2019-06-01;48.872281170534215,2.3002135268762136;"{""coordinates"": [[2.3008608816978273, 48.87207295286932], [2.2995661720546, 48.872489388199135]], ""type"": ""LineString""}"
4265;Av_Champs_Elysees;2022-11-07T02:00:00+01:00;586.0;4.05445;Fluide;2294;Av_Champs_Elysees-Washington;2296;Av_Champs_Elysees-Balzac;Invalide;2005-01-01;2019-06-01;48.872281170534215,2.3002135268762136;"{""coordinates"": [[2.3008608816978273, 48.87207295286932], [2.2995661720546, 48.872489388199135]], ""type"": ""LineString""}"
4265;Av_Champs_Elysees;2022-11-09T19:00:00+01:00;1511.0;14.58056;Fluide;2294;Av_Champs_Elysees-Washington;2296;Av_Champs_Elysees-Balzac;Invalide;2005-01-01;2019-06-01;48.872281170534215,2.3002135268762136;"{""coordinates"": [[2.3008608816978273, 48.87207295286932], [2.2995661720546, 48.872489388199135]], ""type"": ""LineString""}"
4265;Av_Champs_Elysees;2022-11-09T17:00:00+01:00;1609.0;17.62;Pré-saturé;2294;Av_Champs_Elysees-Washington;2296;Av_Champs_Elysees-Balzac;Invalide;2005-01-01;2019-06-01;48.872281170534215,2.3002135268762136;"{""coordinates"": [[2.3008608816978273, 48.87207295286932], [2.2995661720546, 48.872489388199135]], ""type"": ""LineString""}"
4265;Av_Champs_Elysees;2022-11-09T16:00:00+01:00;1522.0;13.98167;Fluide;2294;Av_Champs_Elysees-Washington;2296;Av_Champs_Elysees-Balzac;Invalide;2005-01-01;2019-06-01;48.872281170534215,2.3002135268762136;"{""coordinates"": [[2.3008608816978273, 48.87207295286932], [2.2995661720546, 48.872489388199135]], ""type"": ""LineString""}"
4265;Av_Champs_Elysees;2022-11-09T15:00:00+01:00;1502.0;14.59334;Fluide;2294;Av_Champs_Elysees-Washington;2296;Av_Champs_Elysees-Balzac;Invalide;2005-01-01;2019-06-01;48.872281170534215,2.3002135268762136;"{""coordinates"": [[2.3008608816978273, 48.87207295286932], [2.2995661720546, 48.872489388199135]], ""type"": ""LineString""}"
4265;Av_Champs_Elysees;2022-11-09T14:00:00+01:00;1474.0;16.10667;Pré-saturé;2294;Av_Champs_Elysees-Washington;2296;Av_Champs_Elysees-Balzac;Invalide;2005-01-01;2019-06-01;48.872281170534215,2.3002135268762136;"{""coordinates"": [[2.3008608816978273, 48.87207295286932], [2.2995661720546, 48.872489388199135]], ""type"": ""LineString""}"
